,Shinjuku,"Meijijingumae,Harajuku",Shibuya,Meguro,Shinbashi,Tokyo,Kanda,Akihabara,Ueno,Nishinippori,Komagome,Ikebukuro,Tkadanobaba,Nakano,Yotsuya,Ichigaya,Iidabashi,Ochanomizu,Kinshityo,Omotesando,Aoyamaittyome,Aksakamitsuke,Tameikesanno,Ginza,Nihonbashi,Mitsukoshimae,Kourakuen,Ootemachi,Kasumigaseki,Shinjukusanchome,Hibiya,Kayabamachi,Kitasenju,Kudanshita,Nihonbashi,Yurakucho,Nagatacho,Toudaimae
Tameikesanno,"[0,0]","[0,0]","[0,0]","[11,11]","[4,4]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[4,2]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[11,1]","[0,0]"
Ginza,"[0,0]","[0,0]","[0,0]","[0,0]","[4,2]","[5,2]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[4,3]","[0,0]","[0,0]","[7,1]","[5,2]","[0,0]","[6,1]","[6,6]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
Nihonbashi,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[4,3]","[0,0]","[4,2]","[0,0]","[10,1]","[0,0]","[0,0]","[0,0]","[7,1]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
Mitsukoshimae,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[4,2]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[10,5]","[0,0]","[0,0]","[0,0]","[0,0]"
Kourakuen,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[5,7]","[0,0]","[0,0]","[0,0]","[0,0]","[11,2]","[5,4]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[11,3]"
Ootemachi,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[5,1]","[0,0]","[0,0]","[0,0]","[8,10]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[5,4]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[7,1]","[10,1]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[8,3]","[0,0]","[0,0]","[10,3]","[7,1]","[0,0]","[0,0]","[0,0]"
Kasumigaseki,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[5,4]","[0,0]","[5,2]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[6,2]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
Shinjukusanchome,"[5,1]","[12,11]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[12,9]","[0,0]","[0,0]","[5,6]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
Hibiya,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[8,13]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[6,1]","[0,0]","[0,0]","[0,0]","[8,3]","[6,2]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
Kayabamachi,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[6,5]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[6,6]","[7,1]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
Kitasenju,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[6,9]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
Kudanshita,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[7,1]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[10,5]","[0,0]","[10,3]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[10,5]","[0,0]"
Nihonbashi,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[7,1]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
Yurakucho,"[0,0]","[0,0]","[0,0]","[0,0]","[1,2]","[1,2]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
Nagatacho,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[11,2]","[9,3]","[0,0]","[0,0]","[0,0]","[0,0]","[10,2]","[0,0]","[11,1]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[10,5]","[0,0]","[0,0]","[0,0]","[0,0]"
Toudaimae,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[11,4]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[11,3]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
